From vertex 0:
To vertex 11:3 (5,15,2,11)
To vertex 12:5 (5,15,28,12)
To vertex 13:8 (5,15,8,13)
To vertex 14:25 (5,26,14)
To vertex 15:-2 (5,15)
To vertex 16:11 (5,26,31,20,22,18,4,6,23,16)
To vertex 17:18 (5,26,31,20,22,17)
To vertex 18:2 (5,26,31,20,22,18)
To vertex 19:9 (5,15,2,11,24,19)
To vertex 20:6 (5,26,31,20)
To vertex 21:11 (5,7,0,21)
To vertex 22:6 (5,26,31,20,22)
To vertex 23:8 (5,26,31,20,22,18,4,6,23)
To vertex 24:1 (5,15,2,11,24)
To vertex 25:20 (5,15,8,25)
To vertex 26:1 (5,26)
To vertex 27:10 (5,15,28,12,27)
To vertex 28:4 (5,15,28)
To vertex 29:16 (5,15,28,12,27,29)
To vertex 30:11 (5,15,2,11,24,19,30)
To vertex 31:-1 (5,26,31)
From vertex 6:
To vertex 0:18 (6,15,26,31,20,0)
To vertex 1:23 (6,23,16,9,1)
To vertex 2:8 (6,15,2)
To vertex 3:21 (6,15,26,31,20,22,3)
To vertex 4:15 (6,15,2,4)
To vertex 5:13 (6,15,28,5)
To vertex 7:15 (6,15,28,5,7)
To vertex 8:15 (6,15,8)
To vertex 9:10 (6,23,16,9)
To vertex 10:25 (6,15,28,5,10)
To vertex 11:10 (6,15,2,11)
To vertex 12:12 (6,15,28,12)
To vertex 13:15 (6,15,8,13)
To vertex 14:19 (6,14)
To vertex 15:5 (6,15)
To vertex 16:5 (6,23,16)
To vertex 17:23 (6,23,16,9,17)
To vertex 18:11 (6,15,26,31,20,22,18)
To vertex 19:16 (6,15,2,11,24,19)
To vertex 20:15 (6,15,26,31,20)
To vertex 21:22 (6,15,2,21)
To vertex 22:15 (6,15,26,31,20,22)
To vertex 23:2 (6,23)
To vertex 24:8 (6,15,2,11,24)
To vertex 25:27 (6,15,8,25)
To vertex 26:10 (6,15,26)
To vertex 27:17 (6,15,28,12,27)
To vertex 28:11 (6,15,28)
To vertex 29:23 (6,15,28,12,27,29)
To vertex 30:15 (6,23,30)
To vertex 31:8 (6,15,26,31)
From vertex 7:
To vertex 0:5 (7,0)
To vertex 1:28 (7,0,21,29,1)
To vertex 2:16 (7,18,4,6,15,2)
To vertex 3:17 (7,31,20,22,3)
To vertex 4:8 (7,18,4)
To vertex 5:21 (7,18,4,6,15,28,5)
To vertex 6:8 (7,18,4,6)
To vertex 8:21 (7,0,21,29,8)
To vertex 9:18 (7,18,4,6,23,16,9)
To vertex 10:33 (7,18,4,6,15,28,5,10)
To vertex 11:8 (7,18,11)
To vertex 12:20 (7,18,4,6,15,28,12)
To vertex 13:18 (7,13)
To vertex 14:27 (7,18,4,6,14)
To vertex 15:13 (7,18,4,6,15)
To vertex 16:13 (7,18,4,6,23,16)
To vertex 17:23 (7,31,20,22,17)
To vertex 18:4 (7,18)
To vertex 19:13 (7,18,24,19)
To vertex 20:11 (7,31,20)
To vertex 21:9 (7,0,21)
To vertex 22:11 (7,31,20,22)
To vertex 23:10 (7,18,4,6,23)
To vertex 24:5 (7,18,24)
To vertex 25:33 (7,0,21,29,8,25)
To vertex 26:15 (7,18,24,19,26)
To vertex 27:17 (7,31,20,22,27)
To vertex 28:19 (7,18,4,6,15,28)
To vertex 29:15 (7,0,21,29)
To vertex 30:15 (7,18,24,19,30)
To vertex 31:4 (7,31)
From vertex 8:
To vertex 0:13 (8,28,5,7,0)
To vertex 1:18 (8,1)
To vertex 2:7 (8,28,5,15,2)
To vertex 3:18 (8,28,5,26,31,20,22,3)
To vertex 4:1 (8,13,4)
To vertex 5:6 (8,28,5)
To vertex 6:1 (8,13,4,6)
To vertex 7:8 (8,28,5,7)
To vertex 9:11 (8,13,4,6,23,16,9)
To vertex 10:18 (8,28,5,10)
To vertex 11:9 (8,28,5,15,2,11)
To vertex 12:5 (8,28,12)
To vertex 13:0 (8,13)
To vertex 14:20 (8,13,4,6,14)
To vertex 15:4 (8,28,5,15)
To vertex 16:6 (8,13,4,6,23,16)
To vertex 17:24 (8,13,4,6,23,16,9,17)
To vertex 18:8 (8,28,5,26,31,20,22,18)
To vertex 19:15 (8,28,5,15,2,11,24,19)
To vertex 20:12 (8,28,5,26,31,20)
To vertex 21:17 (8,28,5,7,0,21)
To vertex 22:12 (8,28,5,26,31,20,22)
To vertex 23:3 (8,13,4,6,23)
To vertex 24:7 (8,28,5,15,2,11,24)
To vertex 25:12 (8,25)
To vertex 26:7 (8,28,5,26)
To vertex 27:10 (8,28,12,27)
To vertex 28:4 (8,28)
To vertex 29:16 (8,28,12,27,29)
To vertex 30:16 (8,13,4,6,23,30)
To vertex 31:5 (8,28,5,26,31)
From vertex 9:
To vertex 0:25 (9,31,20,0)
To vertex 1:13 (9,1)
To vertex 2:18 (9,17,2)
To vertex 3:28 (9,31,20,22,3)
To vertex 4:22 (9,31,20,22,18,4)
To vertex 5:30 (9,6,15,28,5)
To vertex 6:17 (9,6)
To vertex 7:32 (9,6,15,28,5,7)
To vertex 8:26 (9,17,27,29,8)
To vertex 10:39 (9,1,10)
To vertex 11:20 (9,17,2,11)
To vertex 12:27 (9,23,16,12)
To vertex 13:25 (9,23,13)
To vertex 14:36 (9,6,14)
To vertex 15:22 (9,6,15)
To vertex 16:14 (9,23,16)
To vertex 17:13 (9,17)
To vertex 18:18 (9,31,20,22,18)
To vertex 19:26 (9,17,2,11,24,19)
To vertex 20:22 (9,31,20)
To vertex 21:24 (9,1,21)
To vertex 22:22 (9,31,20,22)
To vertex 23:11 (9,23)
To vertex 24:18 (9,17,2,11,24)
To vertex 25:35 (9,17,25)
To vertex 26:27 (9,6,15,26)
To vertex 27:14 (9,17,27)
To vertex 28:28 (9,6,15,28)
To vertex 29:20 (9,17,27,29)
To vertex 30:24 (9,23,30)
To vertex 31:15 (9,31)
From vertex 10:
To vertex 0:8 (10,7,0)
To vertex 1:31 (10,7,0,21,29,1)
To vertex 2:16 (10,17,2)
To vertex 3:20 (10,7,31,20,22,3)
To vertex 4:8 (10,18,4)
To vertex 5:21 (10,18,4,6,15,28,5)
To vertex 6:8 (10,18,4,6)
To vertex 7:3 (10,7)
To vertex 8:23 (10,18,4,6,15,8)
To vertex 9:18 (10,18,4,6,23,16,9)
To vertex 11:8 (10,18,11)
To vertex 12:20 (10,18,4,6,15,28,12)
To vertex 13:19 (10,18,13)
To vertex 14:27 (10,18,4,6,14)
To vertex 15:13 (10,18,4,6,15)
To vertex 16:13 (10,18,4,6,23,16)
To vertex 17:11 (10,17)
To vertex 18:4 (10,18)
To vertex 19:13 (10,18,24,19)
To vertex 20:14 (10,7,31,20)
To vertex 21:12 (10,7,0,21)
To vertex 22:14 (10,7,31,20,22)
To vertex 23:10 (10,18,4,6,23)
To vertex 24:5 (10,18,24)
To vertex 25:33 (10,17,25)
To vertex 26:15 (10,18,24,19,26)
To vertex 27:12 (10,17,27)
To vertex 28:19 (10,18,4,6,15,28)
To vertex 29:18 (10,7,0,21,29)
To vertex 30:15 (10,18,24,19,30)
To vertex 31:7 (10,7,31)
From vertex 11:
To vertex 0:12 (11,24,19,31,20,0)
To vertex 1:25 (11,24,1)
To vertex 2:17 (11,24,19,6,15,2)
To vertex 3:15 (11,24,19,31,20,22,3)
To vertex 4:9 (11,24,19,31,20,22,18,4)
To vertex 5:22 (11,24,19,31,5)
To vertex 6:9 (11,24,19,6)
To vertex 7:24 (11,24,19,31,5,7)
To vertex 8:23 (11,24,19,31,20,22,3,8)
To vertex 9:19 (11,24,19,6,23,16,9)
To vertex 10:34 (11,24,19,31,5,10)
To vertex 12:21 (11,24,19,6,15,28,12)
To vertex 13:20 (11,24,19,31,20,22,18,13)
To vertex 14:28 (11,24,19,6,14)
To vertex 15:14 (11,24,19,6,15)
To vertex 16:14 (11,24,19,6,23,16)
To vertex 17:21 (11,24,19,31,20,22,17)
To vertex 18:5 (11,24,19,31,20,22,18)
To vertex 19:6 (11,24,19)
To vertex 20:9 (11,24,19,31,20)
To vertex 21:16 (11,24,19,31,20,0,21)
To vertex 22:9 (11,24,19,31,20,22)
To vertex 23:11 (11,24,19,6,23)
To vertex 24:-2 (11,24)
To vertex 25:35 (11,24,19,31,20,22,3,8,25)
To vertex 26:8 (11,24,19,26)
To vertex 27:14 (11,24,19,30,27)
To vertex 28:20 (11,24,19,6,15,28)
To vertex 29:20 (11,24,19,30,27,29)
To vertex 30:8 (11,24,19,30)
To vertex 31:2 (11,24,19,31)
From vertex 12:
To vertex 0:26 (12,11,24,19,31,20,0)
To vertex 1:24 (12,27,29,1)
To vertex 2:24 (12,27,29,8,28,5,15,2)
To vertex 3:24 (12,22,3)
To vertex 4:18 (12,27,29,8,13,4)
To vertex 5:23 (12,27,29,8,28,5)
To vertex 6:18 (12,27,29,8,13,4,6)
To vertex 7:25 (12,27,29,8,28,5,7)
To vertex 8:17 (12,27,29,8)
To vertex 9:21 (12,9)
To vertex 10:35 (12,27,29,8,28,5,10)
To vertex 11:14 (12,11)
To vertex 13:17 (12,27,29,8,13)
To vertex 14:37 (12,27,29,8,13,4,6,14)
To vertex 15:21 (12,27,29,8,28,5,15)
To vertex 16:23 (12,27,29,8,13,4,6,23,16)
To vertex 17:30 (12,22,17)
To vertex 18:14 (12,22,18)
To vertex 19:20 (12,11,24,19)
To vertex 20:23 (12,11,24,19,31,20)
To vertex 21:30 (12,11,24,19,31,20,0,21)
To vertex 22:18 (12,22)
To vertex 23:20 (12,27,29,8,13,4,6,23)
To vertex 24:12 (12,11,24)
To vertex 25:29 (12,27,29,8,25)
To vertex 26:22 (12,11,24,19,26)
To vertex 27:5 (12,27)
To vertex 28:21 (12,27,29,8,28)
To vertex 29:11 (12,27,29)
To vertex 30:22 (12,11,24,19,30)
To vertex 31:16 (12,11,24,19,31)
From vertex 13:
To vertex 0:19 (13,4,6,15,26,31,20,0)
To vertex 1:19 (13,1)
To vertex 2:9 (13,4,6,15,2)
To vertex 3:22 (13,4,6,15,26,31,20,22,3)
To vertex 4:1 (13,4)
To vertex 5:14 (13,4,6,15,28,5)
To vertex 6:1 (13,4,6)
To vertex 7:16 (13,4,6,15,28,5,7)
To vertex 8:16 (13,4,6,15,8)
To vertex 9:11 (13,4,6,23,16,9)
To vertex 10:26 (13,4,6,15,28,5,10)
To vertex 11:11 (13,4,6,15,2,11)
To vertex 12:13 (13,4,6,15,28,12)
To vertex 14:20 (13,4,6,14)
To vertex 15:6 (13,4,6,15)
To vertex 16:6 (13,4,6,23,16)
To vertex 17:24 (13,4,6,23,16,9,17)
To vertex 18:12 (13,4,6,15,26,31,20,22,18)
To vertex 19:17 (13,4,6,15,2,11,24,19)
To vertex 20:16 (13,4,6,15,26,31,20)
To vertex 21:23 (13,4,6,15,2,21)
To vertex 22:16 (13,4,6,15,26,31,20,22)
To vertex 23:3 (13,4,6,23)
To vertex 24:9 (13,4,6,15,2,11,24)
To vertex 25:28 (13,4,6,15,8,25)
To vertex 26:11 (13,4,6,15,26)
To vertex 27:18 (13,4,6,15,28,12,27)
To vertex 28:12 (13,4,6,15,28)
To vertex 29:24 (13,4,6,15,28,12,27,29)
To vertex 30:16 (13,4,6,23,30)
To vertex 31:9 (13,4,6,15,26,31)
From vertex 14:
To vertex 0:16 (14,22,18,24,19,31,20,0)
To vertex 1:28 (14,22,18,4,6,23,16,9,1)
To vertex 2:13 (14,22,18,4,6,15,2)
To vertex 3:11 (14,22,3)
To vertex 4:5 (14,22,18,4)
To vertex 5:18 (14,22,18,4,6,15,28,5)
To vertex 6:5 (14,22,18,4,6)
To vertex 7:20 (14,22,18,4,6,15,28,5,7)
To vertex 8:19 (14,22,3,8)
To vertex 9:15 (14,22,18,4,6,23,16,9)
To vertex 10:27 (14,10)
To vertex 11:5 (14,22,18,11)
To vertex 12:17 (14,22,18,4,6,15,28,12)
To vertex 13:16 (14,22,18,13)
To vertex 15:10 (14,22,18,4,6,15)
To vertex 16:10 (14,22,18,4,6,23,16)
To vertex 17:13 (14,17)
To vertex 18:1 (14,22,18)
To vertex 19:10 (14,22,18,24,19)
To vertex 20:13 (14,22,18,24,19,31,20)
To vertex 21:20 (14,21)
To vertex 22:5 (14,22)
To vertex 23:7 (14,22,18,4,6,23)
To vertex 24:2 (14,22,18,24)
To vertex 25:31 (14,22,3,8,25)
To vertex 26:12 (14,22,18,24,19,26)
To vertex 27:11 (14,22,27)
To vertex 28:16 (14,22,18,4,6,15,28)
To vertex 29:17 (14,22,27,29)
To vertex 30:12 (14,22,18,24,19,30)
To vertex 31:6 (14,22,18,24,19,31)
From vertex 15:
To vertex 0:13 (15,26,31,20,0)
To vertex 1:28 (15,8,1)
To vertex 2:3 (15,2)
To vertex 3:16 (15,26,31,20,22,3)
To vertex 4:10 (15,2,4)
To vertex 5:8 (15,28,5)
To vertex 6:10 (15,2,4,6)
To vertex 7:10 (15,28,5,7)
To vertex 8:10 (15,8)
To vertex 9:20 (15,2,4,6,23,16,9)
To vertex 10:20 (15,28,5,10)
To vertex 11:5 (15,2,11)
To vertex 12:7 (15,28,12)
To vertex 13:10 (15,8,13)
To vertex 14:29 (15,26,14)
To vertex 16:15 (15,2,4,6,23,16)
To vertex 17:22 (15,26,31,20,22,17)
To vertex 18:6 (15,26,31,20,22,18)
To vertex 19:11 (15,2,11,24,19)
To vertex 20:10 (15,26,31,20)
To vertex 21:17 (15,2,21)
To vertex 22:10 (15,26,31,20,22)
To vertex 23:12 (15,2,4,6,23)
To vertex 24:3 (15,2,11,24)
To vertex 25:22 (15,8,25)
To vertex 26:5 (15,26)
To vertex 27:12 (15,28,12,27)
To vertex 28:6 (15,28)
To vertex 29:18 (15,28,12,27,29)
To vertex 30:13 (15,2,11,24,19,30)
To vertex 31:3 (15,26,31)
From vertex 16:
To vertex 0:30 (16,9,31,20,0)
To vertex 1:18 (16,9,1)
To vertex 2:23 (16,9,17,2)
To vertex 3:33 (16,9,31,20,22,3)
To vertex 4:21 (16,8,13,4)
To vertex 5:26 (16,8,28,5)
To vertex 6:21 (16,8,13,4,6)
To vertex 7:28 (16,8,28,5,7)
To vertex 8:20 (16,8)
To vertex 9:5 (16,9)
To vertex 10:38 (16,8,28,5,10)
To vertex 11:25 (16,9,17,2,11)
To vertex 12:13 (16,12)
To vertex 13:20 (16,8,13)
To vertex 14:40 (16,8,13,4,6,14)
To vertex 15:24 (16,8,28,5,15)
To vertex 17:18 (16,9,17)
To vertex 18:23 (16,9,31,20,22,18)
To vertex 19:31 (16,9,17,2,11,24,19)
To vertex 20:27 (16,9,31,20)
To vertex 21:29 (16,9,1,21)
To vertex 22:27 (16,9,31,20,22)
To vertex 23:16 (16,9,23)
To vertex 24:23 (16,9,17,2,11,24)
To vertex 25:32 (16,8,25)
To vertex 26:27 (16,8,28,5,26)
To vertex 27:14 (16,27)
To vertex 28:24 (16,8,28)
To vertex 29:20 (16,27,29)
To vertex 30:29 (16,9,23,30)
To vertex 31:20 (16,9,31)
From vertex 17:
To vertex 0:19 (17,2,11,24,19,31,20,0)
To vertex 1:20 (17,27,29,1)
To vertex 2:5 (17,2)
To vertex 3:22 (17,2,22,3)
To vertex 4:12 (17,2,4)
To vertex 5:19 (17,27,29,8,28,5)
To vertex 6:12 (17,2,4,6)
To vertex 7:21 (17,27,29,8,28,5,7)
To vertex 8:13 (17,27,29,8)
To vertex 9:22 (17,2,4,6,23,16,9)
To vertex 10:31 (17,27,29,8,28,5,10)
To vertex 11:7 (17,2,11)
To vertex 12:18 (17,27,29,8,28,12)
To vertex 13:13 (17,27,29,8,13)
To vertex 14:31 (17,2,4,6,14)
To vertex 15:17 (17,2,4,6,15)
To vertex 16:17 (17,2,4,6,23,16)
To vertex 18:12 (17,2,22,18)
To vertex 19:13 (17,2,11,24,19)
To vertex 20:16 (17,2,11,24,19,31,20)
To vertex 21:19 (17,2,21)
To vertex 22:16 (17,2,22)
To vertex 23:14 (17,2,4,6,23)
To vertex 24:5 (17,2,11,24)
To vertex 25:22 (17,25)
To vertex 26:15 (17,2,11,24,19,26)
To vertex 27:1 (17,27)
To vertex 28:17 (17,27,29,8,28)
To vertex 29:7 (17,27,29)
To vertex 30:15 (17,2,11,24,19,30)
To vertex 31:9 (17,2,11,24,19,31)
From vertex 18:
To vertex 0:15 (18,24,19,31,20,0)
To vertex 1:27 (18,4,6,23,16,9,1)
To vertex 2:12 (18,4,6,15,2)
To vertex 3:18 (18,24,19,31,20,22,3)
To vertex 4:4 (18,4)
To vertex 5:17 (18,4,6,15,28,5)
To vertex 6:4 (18,4,6)
To vertex 7:19 (18,4,6,15,28,5,7)
To vertex 8:19 (18,4,6,15,8)
To vertex 9:14 (18,4,6,23,16,9)
To vertex 10:29 (18,4,6,15,28,5,10)
To vertex 11:4 (18,11)
To vertex 12:16 (18,4,6,15,28,12)
To vertex 13:15 (18,13)
To vertex 14:23 (18,4,6,14)
To vertex 15:9 (18,4,6,15)
To vertex 16:9 (18,4,6,23,16)
To vertex 17:24 (18,24,19,31,20,22,17)
To vertex 19:9 (18,24,19)
To vertex 20:12 (18,24,19,31,20)
To vertex 21:19 (18,24,19,31,20,0,21)
To vertex 22:12 (18,24,19,31,20,22)
To vertex 23:6 (18,4,6,23)
To vertex 24:1 (18,24)
To vertex 25:31 (18,4,6,15,8,25)
To vertex 26:11 (18,24,19,26)
To vertex 27:17 (18,24,19,30,27)
To vertex 28:15 (18,4,6,15,28)
To vertex 29:23 (18,24,19,30,27,29)
To vertex 30:11 (18,24,19,30)
To vertex 31:5 (18,24,19,31)
From vertex 19:
To vertex 0:6 (19,31,20,0)
To vertex 1:26 (19,6,23,16,9,1)
To vertex 2:11 (19,6,15,2)
To vertex 3:9 (19,31,20,22,3)
To vertex 4:3 (19,31,20,22,18,4)
To vertex 5:16 (19,31,5)
To vertex 6:3 (19,6)
To vertex 7:18 (19,31,5,7)
To vertex 8:17 (19,31,20,22,3,8)
To vertex 9:13 (19,6,23,16,9)
To vertex 10:28 (19,31,5,10)
To vertex 11:3 (19,31,20,22,18,11)
To vertex 12:15 (19,6,15,28,12)
To vertex 13:14 (19,31,20,22,18,13)
To vertex 14:22 (19,6,14)
To vertex 15:8 (19,6,15)
To vertex 16:8 (19,6,23,16)
To vertex 17:15 (19,31,20,22,17)
To vertex 18:-1 (19,31,20,22,18)
To vertex 20:3 (19,31,20)
To vertex 21:10 (19,31,20,0,21)
To vertex 22:3 (19,31,20,22)
To vertex 23:5 (19,6,23)
To vertex 24:0 (19,31,20,22,18,24)
To vertex 25:29 (19,31,20,22,3,8,25)
To vertex 26:2 (19,26)
To vertex 27:8 (19,30,27)
To vertex 28:14 (19,6,15,28)
To vertex 29:14 (19,30,27,29)
To vertex 30:2 (19,30)
To vertex 31:-4 (19,31)
From vertex 20:
To vertex 0:3 (20,0)
To vertex 1:23 (20,22,18,4,6,23,16,9,1)
To vertex 2:8 (20,22,18,4,6,15,2)
To vertex 3:6 (20,22,3)
To vertex 4:0 (20,22,18,4)
To vertex 5:13 (20,22,18,4,6,15,28,5)
To vertex 6:0 (20,22,18,4,6)
To vertex 7:15 (20,22,18,4,6,15,28,5,7)
To vertex 8:14 (20,22,3,8)
To vertex 9:10 (20,22,18,4,6,23,16,9)
To vertex 10:25 (20,22,18,4,6,15,28,5,10)
To vertex 11:0 (20,22,18,11)
To vertex 12:12 (20,22,18,4,6,15,28,12)
To vertex 13:11 (20,22,18,13)
To vertex 14:19 (20,22,18,4,6,14)
To vertex 15:5 (20,22,18,4,6,15)
To vertex 16:5 (20,22,18,4,6,23,16)
To vertex 17:12 (20,22,17)
To vertex 18:-4 (20,22,18)
To vertex 19:5 (20,22,18,24,19)
To vertex 21:7 (20,0,21)
To vertex 22:0 (20,22)
To vertex 23:2 (20,22,18,4,6,23)
To vertex 24:-3 (20,22,18,24)
To vertex 25:26 (20,22,3,8,25)
To vertex 26:7 (20,22,18,24,19,26)
To vertex 27:6 (20,22,27)
To vertex 28:11 (20,22,18,4,6,15,28)
To vertex 29:12 (20,22,27,29)
To vertex 30:7 (20,22,18,24,19,30)
To vertex 31:1 (20,22,18,24,19,31)
From vertex 21:
To vertex 0:25 (21,29,8,28,5,7,0)
To vertex 1:19 (21,29,1)
To vertex 2:15 (21,23,2)
To vertex 3:26 (21,30,3)
To vertex 4:13 (21,29,8,13,4)
To vertex 5:18 (21,29,8,28,5)
To vertex 6:13 (21,29,8,13,4,6)
To vertex 7:20 (21,29,8,28,5,7)
To vertex 8:12 (21,29,8)
To vertex 9:11 (21,16,9)
To vertex 10:30 (21,29,8,28,5,10)
To vertex 11:14 (21,30,11)
To vertex 12:17 (21,29,8,28,12)
To vertex 13:12 (21,29,8,13)
To vertex 14:32 (21,29,8,13,4,6,14)
To vertex 15:16 (21,29,8,28,5,15)
To vertex 16:6 (21,16)
To vertex 17:24 (21,16,9,17)
To vertex 18:19 (21,30,11,24,19,31,20,22,18)
To vertex 19:20 (21,30,11,24,19)
To vertex 20:23 (21,30,11,24,19,31,20)
To vertex 22:23 (21,30,11,24,19,31,20,22)
To vertex 23:4 (21,23)
To vertex 24:12 (21,30,11,24)
To vertex 25:24 (21,29,8,25)
