From vertex 0:
To vertex 22:28 (1,62,38,19,12,27,44,22)
To vertex 23:46 (1,62,6,35,23)
To vertex 24:58 (1,62,16,15,24)
To vertex 25:58 (1,62,48,0,26,25)
To vertex 26:31 (1,62,48,0,26)
To vertex 27:18 (1,62,38,19,12,27)
To vertex 28:51 (1,62,38,19,12,27,44,22,32,47,28)
To vertex 29:94 (1,62,48,0,26,25,29)
To vertex 30:25 (1,62,6,30)
To vertex 31:49 (1,62,16,15,31)
To vertex 32:22 (1,62,38,19,12,27,44,22,32)
To vertex 33:20 (1,45,5,33)
To vertex 34:32 (1,62,34)
To vertex 35:5 (1,62,6,35)
To vertex 36:60 (1,62,38,19,12,27,44,22,36)
To vertex 37:45 (1,62,38,19,12,27,44,22,32,47,28,37)
To vertex 38:18 (1,62,38)
To vertex 39:45 (1,45,5,63,39)
To vertex 40:44 (1,62,16,40)
To vertex 41:45 (1,62,38,19,12,55,59,41)
To vertex 42:68 (1,62,48,0,14,42)
To vertex 43:75 (1,52,43)
To vertex 44:26 (1,62,38,19,12,27,44)
To vertex 45:25 (1,45)
To vertex 46:30 (1,62,38,19,12,27,44,22,46)
To vertex 47:26 (1,62,38,19,12,27,44,22,32,47)
To vertex 48:28 (1,62,48)
To vertex 49:27 (1,62,6,35,49)
To vertex 50:41 (1,62,38,19,12,27,44,50)
To vertex 51:48 (1,62,38,19,12,27,44,22,46,51)
To vertex 52:23 (1,52)
To vertex 53:24 (1,62,16,15,53)
To vertex 54:47 (1,62,9,54)
To vertex 55:39 (1,62,38,19,12,55)
To vertex 56:42 (1,62,48,0,56)
To vertex 57:50 (1,62,16,15,53,57)
To vertex 58:52 (1,62,16,15,53,58)
To vertex 59:40 (1,62,38,19,12,55,59)
To vertex 60:47 (1,62,48,0,14,60)
To vertex 61:45 (1,62,48,61)
To vertex 62:3 (1,62)
To vertex 63:31 (1,45,5,63)
From vertex 2:
To vertex 0:55 (2,46,51,52,22,5,33,20,48,0)
To vertex 1:86 (2,46,51,52,22,1)
To vertex 3:39 (2,46,51,34,3)
To vertex 4:46 (2,46,51,34,4)
To vertex 5:46 (2,46,51,52,22,5)
To vertex 6:50 (2,46,51,52,22,5,6)
To vertex 7:48 (2,46,15,53,57,7)
To vertex 8:43 (2,46,51,34,3,63,8)
To vertex 9:43 (2,46,51,56,9)
To vertex 10:65 (2,46,51,52,22,5,33,20,19,12,27,44,45,10)
To vertex 11:71 (2,46,51,34,3,63,39,11)
To vertex 12:54 (2,46,51,52,22,5,33,20,19,12)
To vertex 13:45 (2,46,51,34,3,63,13)
To vertex 14:56 (2,46,51,52,22,5,33,20,48,0,14)
To vertex 15:19 (2,46,15)
To vertex 16:61 (2,46,51,52,22,16)
To vertex 17:64 (2,46,51,52,32,17)
To vertex 18:83 (2,46,51,52,22,5,33,20,48,0,14,18)
To vertex 19:50 (2,46,51,52,22,5,33,20,19)
To vertex 20:47 (2,46,51,52,22,5,33,20)
To vertex 21:97 (2,46,51,52,22,5,33,20,48,0,26,21)
To vertex 22:44 (2,46,51,52,22)
To vertex 23:83 (2,46,51,52,32,17,23)
To vertex 24:54 (2,46,15,24)
To vertex 25:78 (2,46,15,25)
To vertex 26:55 (2,46,51,52,22,5,33,20,48,0,26)
To vertex 27:48 (2,46,51,52,22,5,33,20,19,12,27)
To vertex 28:64 (2,46,51,34,3,28)
To vertex 29:110 (2,46,51,34,3,63,39,29)
To vertex 30:60 (2,46,51,34,3,30)
To vertex 31:45 (2,46,15,31)
To vertex 32:38 (2,46,51,52,32)
To vertex 33:41 (2,46,51,52,22,5,33)
To vertex 34:33 (2,46,51,34)
To vertex 35:51 (2,46,51,52,22,5,6,35)
To vertex 36:68 (2,46,51,56,36)
To vertex 37:57 (2,46,51,34,3,63,8,37)
To vertex 38:70 (2,46,51,52,22,5,33,20,38)
To vertex 39:56 (2,46,51,34,3,63,39)
To vertex 40:54 (2,46,15,53,40)
To vertex 41:52 (2,46,15,31,59,41)
To vertex 42:92 (2,46,51,52,22,5,33,20,48,0,14,42)
To vertex 43:77 (2,46,51,52,43)
To vertex 44:56 (2,46,51,52,22,5,33,20,19,12,27,44)
To vertex 45:56 (2,46,51,52,22,5,33,20,19,12,27,44,45)
To vertex 46:6 (2,46)
To vertex 47:42 (2,46,51,52,32,47)
To vertex 48:52 (2,46,51,52,22,5,33,20,48)
To vertex 49:57 (2,46,51,52,32,47,49)
To vertex 50:60 (2,46,51,34,50)
To vertex 51:24 (2,46,51)
To vertex 52:25 (2,46,51,52)
To vertex 53:20 (2,46,15,53)
To vertex 54:59 (2,46,51,56,9,54)
To vertex 55:68 (2,46,15,24,55)
To vertex 56:45 (2,46,51,56)
To vertex 57:46 (2,46,15,53,57)
To vertex 58:48 (2,46,15,53,58)
To vertex 59:47 (2,46,15,31,59)
To vertex 60:62 (2,46,51,34,3,63,13,60)
To vertex 61:69 (2,46,51,52,22,5,33,20,48,61)
To vertex 62:60 (2,46,51,34,3,63,62)
To vertex 63:42 (2,46,51,34,3,63)
From vertex 3:
To vertex 0:25 (3,5,33,20,48,0)
To vertex 1:69 (3,63,39,12,27,44,22,1)
To vertex 2:21 (3,5,33,2)
To vertex 4:44 (3,63,39,12,55,59,4)
To vertex 5:16 (3,5)
To vertex 6:20 (3,5,6)
To vertex 7:31 (3,53,57,7)
To vertex 8:4 (3,63,8)
To vertex 9:34 (3,5,33,20,48,0,56,9)
To vertex 10:34 (3,63,39,12,27,44,45,10)
To vertex 11:32 (3,63,39,11)
To vertex 12:23 (3,63,39,12)
To vertex 13:6 (3,63,13)
To vertex 14:26 (3,5,33,20,48,0,14)
To vertex 15:12 (3,63,8,15)
To vertex 16:40 (3,63,62,16)
To vertex 17:47 (3,63,39,12,27,44,22,32,17)
To vertex 18:53 (3,5,33,20,48,0,14,18)
To vertex 19:20 (3,5,33,20,19)
To vertex 20:17 (3,5,33,20)
To vertex 21:67 (3,5,33,20,48,0,26,21)
To vertex 22:27 (3,63,39,12,27,44,22)
To vertex 23:62 (3,5,6,35,23)
To vertex 24:47 (3,63,8,15,24)
To vertex 25:52 (3,5,33,20,48,0,26,25)
To vertex 26:25 (3,5,33,20,48,0,26)
To vertex 27:17 (3,63,39,12,27)
To vertex 28:25 (3,28)
To vertex 29:71 (3,63,39,29)
To vertex 30:21 (3,30)
To vertex 31:38 (3,63,8,15,31)
To vertex 32:21 (3,63,39,12,27,44,22,32)
To vertex 33:11 (3,5,33)
To vertex 34:45 (3,63,39,46,51,34)
To vertex 35:21 (3,5,6,35)
To vertex 36:59 (3,63,36)
To vertex 37:18 (3,63,8,37)
To vertex 38:36 (3,63,8,38)
To vertex 39:17 (3,63,39)
To vertex 40:37 (3,53,40)
To vertex 41:41 (3,63,39,58,41)
To vertex 42:62 (3,5,33,20,48,0,14,42)
To vertex 43:74 (3,63,36,43)
To vertex 44:25 (3,63,39,12,27,44)
To vertex 45:25 (3,63,39,12,27,44,45)
To vertex 46:18 (3,63,39,46)
To vertex 47:25 (3,63,39,12,27,44,22,32,47)
To vertex 48:22 (3,5,33,20,48)
To vertex 49:40 (3,63,39,12,27,44,22,32,47,49)
To vertex 50:40 (3,63,39,12,27,44,50)
To vertex 51:36 (3,63,39,46,51)
To vertex 52:37 (3,63,39,46,51,52)
To vertex 53:3 (3,53)
To vertex 54:25 (3,63,54)
To vertex 55:38 (3,63,39,12,55)
To vertex 56:36 (3,5,33,20,48,0,56)
To vertex 57:29 (3,53,57)
To vertex 58:30 (3,63,39,58)
To vertex 59:39 (3,63,39,12,55,59)
To vertex 60:23 (3,63,13,60)
To vertex 61:39 (3,5,33,20,48,61)
To vertex 62:21 (3,63,62)
To vertex 63:3 (3,63)
From vertex 4:
To vertex 0:55 (4,0)
To vertex 1:94 (4,22,1)
To vertex 2:59 (4,22,5,33,2)
To vertex 3:87 (4,22,46,51,34,3)
To vertex 5:54 (4,22,5)
To vertex 6:58 (4,22,5,6)
To vertex 7:77 (4,37,7)
To vertex 8:61 (4,22,5,63,8)
To vertex 9:64 (4,0,56,9)
To vertex 10:73 (4,22,5,33,20,19,12,27,44,45,10)
To vertex 11:84 (4,22,32,47,11)
To vertex 12:62 (4,22,5,33,20,19,12)
To vertex 13:56 (4,0,26,13)
To vertex 14:56 (4,0,14)
To vertex 15:67 (4,22,46,15)
To vertex 16:69 (4,22,16)
To vertex 17:72 (4,22,32,17)
To vertex 18:83 (4,0,14,18)
To vertex 19:58 (4,22,5,33,20,19)
To vertex 20:55 (4,22,5,33,20)
To vertex 21:97 (4,0,26,21)
To vertex 22:52 (4,22)
To vertex 23:91 (4,22,32,17,23)
To vertex 24:102 (4,22,46,15,24)
To vertex 25:82 (4,0,26,25)
To vertex 26:55 (4,0,26)
To vertex 27:56 (4,22,5,33,20,19,12,27)
To vertex 28:75 (4,22,32,47,28)
To vertex 29:118 (4,0,26,25,29)
To vertex 30:79 (4,22,5,6,30)
To vertex 31:87 (4,22,57,31)
To vertex 32:46 (4,22,32)
To vertex 33:49 (4,22,5,33)
To vertex 34:81 (4,22,46,51,34)
To vertex 35:59 (4,22,5,6,35)
To vertex 36:84 (4,22,36)
To vertex 37:26 (4,37)
To vertex 38:72 (4,0,26,38)
To vertex 39:74 (4,22,5,63,39)
To vertex 40:91 (4,22,16,40)
To vertex 41:75 (4,0,26,55,59,41)
To vertex 42:92 (4,0,14,42)
To vertex 43:99 (4,22,36,43)
To vertex 44:64 (4,22,5,33,20,19,12,27,44)
To vertex 45:64 (4,22,5,33,20,19,12,27,44,45)
To vertex 46:54 (4,22,46)
To vertex 47:50 (4,22,32,47)
To vertex 48:60 (4,22,5,33,20,48)
To vertex 49:65 (4,22,32,47,49)
To vertex 50:79 (4,22,5,33,20,19,12,27,44,50)
To vertex 51:72 (4,22,46,51)
To vertex 52:73 (4,22,46,51,52)
To vertex 53:68 (4,22,46,15,53)
To vertex 54:72 (4,22,32,54)
To vertex 55:69 (4,0,26,55)
To vertex 56:66 (4,0,56)
To vertex 57:75 (4,22,57)
To vertex 58:87 (4,22,5,63,39,58)
To vertex 59:70 (4,0,26,55,59)
To vertex 60:71 (4,0,14,60)
To vertex 61:77 (4,22,5,33,20,48,61)
To vertex 62:78 (4,22,5,63,62)
To vertex 63:60 (4,22,5,63)
From vertex 5:
To vertex 0:9 (5,33,20,48,0)
To vertex 1:54 (5,33,20,19,12,27,44,22,1)
To vertex 2:5 (5,33,2)
To vertex 3:40 (5,33,20,19,12,27,3)
To vertex 4:29 (5,33,20,55,59,4)
To vertex 6:4 (5,6)
To vertex 7:37 (5,33,20,19,12,27,44,22,57,7)
To vertex 8:7 (5,63,8)
To vertex 9:18 (5,33,20,48,0,56,9)
To vertex 10:19 (5,33,20,19,12,27,44,45,10)
To vertex 11:33 (5,33,20,48,11)
To vertex 12:8 (5,33,20,19,12)
To vertex 13:9 (5,63,13)
To vertex 14:10 (5,33,20,48,0,14)
To vertex 15:15 (5,63,8,15)
To vertex 16:29 (5,33,20,19,12,27,44,22,16)
To vertex 17:32 (5,33,20,19,12,27,44,22,32,17)
To vertex 18:37 (5,33,20,48,0,14,18)
To vertex 19:4 (5,33,20,19)
To vertex 20:1 (5,33,20)
To vertex 21:51 (5,33,20,48,0,26,21)
To vertex 22:12 (5,33,20,19,12,27,44,22)
To vertex 23:46 (5,6,35,23)
To vertex 24:50 (5,63,8,15,24)
To vertex 25:36 (5,33,20,48,0,26,25)
To vertex 26:9 (5,33,20,48,0,26)
To vertex 27:2 (5,33,20,19,12,27)
To vertex 28:35 (5,33,20,19,12,27,44,22,32,47,28)
To vertex 29:72 (5,33,20,48,0,26,25,29)
To vertex 30:25 (5,6,30)
To vertex 31:41 (5,63,8,15,31)
To vertex 32:6 (5,33,20,19,12,27,44,22,32)
To vertex 33:-5 (5,33)
To vertex 34:38 (5,33,2,46,51,34)
To vertex 35:5 (5,6,35)
To vertex 36:43 (5,33,20,48,0,56,36)
To vertex 37:21 (5,63,8,37)
To vertex 38:24 (5,33,20,38)
To vertex 39:20 (5,63,39)
To vertex 40:47 (5,33,20,19,40)
To vertex 41:29 (5,33,20,55,59,41)
To vertex 42:46 (5,33,20,48,0,14,42)
To vertex 43:58 (5,33,20,48,0,56,36,43)
To vertex 44:10 (5,33,20,19,12,27,44)
To vertex 45:10 (5,33,20,19,12,27,44,45)
To vertex 46:11 (5,33,2,46)
To vertex 47:10 (5,33,20,19,12,27,44,22,32,47)
To vertex 48:6 (5,33,20,48)
To vertex 49:25 (5,33,20,19,12,27,44,22,32,47,49)
To vertex 50:25 (5,33,20,19,12,27,44,50)
To vertex 51:29 (5,33,2,46,51)
To vertex 52:30 (5,33,2,46,51,52)
To vertex 53:16 (5,63,8,15,53)
To vertex 54:28 (5,63,54)
To vertex 55:23 (5,33,20,55)
To vertex 56:20 (5,33,20,48,0,56)
To vertex 57:35 (5,33,20,19,12,27,44,22,57)
To vertex 58:33 (5,63,39,58)
To vertex 59:24 (5,33,20,55,59)
To vertex 60:25 (5,33,20,48,0,14,60)
To vertex 61:23 (5,33,20,48,61)
To vertex 62:24 (5,63,62)
To vertex 63:6 (5,63)
From vertex 6:
To vertex 0:41 (6,35,44,45,5,33,20,48,0)
To vertex 1:62 (6,35,23,1)
To vertex 2:37 (6,35,44,45,5,33,2)
To vertex 3:66 (6,35,46,51,34,3)
To vertex 4:61 (6,35,44,45,5,33,20,55,59,4)
To vertex 5:32 (6,35,44,45,5)
To vertex 7:59 (6,35,44,22,57,7)
To vertex 8:39 (6,35,44,45,5,63,8)
To vertex 9:50 (6,35,44,45,5,33,20,48,0,56,9)
To vertex 10:41 (6,35,44,45,10)
To vertex 11:32 (6,11)
To vertex 12:40 (6,35,44,45,5,33,20,19,12)
To vertex 13:41 (6,35,44,45,5,63,13)
To vertex 14:35 (6,35,14)
To vertex 15:46 (6,35,46,15)
To vertex 16:51 (6,35,44,22,16)
To vertex 17:54 (6,35,44,22,32,17)
To vertex 18:41 (6,18)
To vertex 19:36 (6,35,44,45,5,33,20,19)
To vertex 20:33 (6,35,44,45,5,33,20)
To vertex 21:83 (6,35,44,45,5,33,20,48,0,26,21)
To vertex 22:34 (6,35,44,22)
To vertex 23:42 (6,35,23)
To vertex 24:61 (6,18,24)
To vertex 25:57 (6,11,25)
To vertex 26:41 (6,35,44,45,5,33,20,48,0,26)
To vertex 27:34 (6,35,44,45,5,33,20,19,12,27)
To vertex 28:57 (6,35,44,22,32,47,28)
To vertex 29:93 (6,11,25,29)
To vertex 30:21 (6,30)
To vertex 31:69 (6,35,44,22,57,31)
To vertex 32:28 (6,35,44,22,32)
To vertex 33:27 (6,35,44,45,5,33)
To vertex 34:60 (6,35,46,51,34)
To vertex 35:1 (6,35)
To vertex 36:66 (6,35,44,22,36)
To vertex 37:51 (6,35,44,22,32,47,28,37)
To vertex 38:56 (6,35,44,45,5,33,20,38)
To vertex 39:52 (6,35,44,45,5,63,39)
To vertex 40:73 (6,35,44,22,16,40)
To vertex 41:61 (6,35,44,45,5,33,20,55,59,41)
To vertex 42:71 (6,35,14,42)
To vertex 43:81 (6,35,44,22,36,43)
To vertex 44:32 (6,35,44)
To vertex 45:32 (6,35,44,45)
To vertex 46:33 (6,35,46)
To vertex 47:32 (6,35,44,22,32,47)
To vertex 48:38 (6,35,44,45,5,33,20,48)
To vertex 49:23 (6,35,49)
To vertex 50:47 (6,35,44,50)
To vertex 51:51 (6,35,46,51)
To vertex 52:40 (6,35,52)
To vertex 53:47 (6,35,46,15,53)
To vertex 54:54 (6,35,44,22,32,54)
To vertex 55:55 (6,35,44,45,5,33,20,55)
To vertex 56:52 (6,35,44,45,5,33,20,48,0,56)
To vertex 57:57 (6,35,44,22,57)
To vertex 58:65 (6,35,44,45,5,63,39,58)
To vertex 59:56 (6,35,44,45,5,33,20,55,59)
To vertex 60:50 (6,35,14,60)
To vertex 61:55 (6,35,44,45,5,33,20,48,61)
To vertex 62:53 (6,11,25,62)
To vertex 63:38 (6,35,44,45,5,63)
From vertex 7:
To vertex 0:50 (7,31,59,27,44,45,5,33,20,48,0)
To vertex 1:66 (7,23,1)
To vertex 2:46 (7,31,59,27,44,45,5,33,2)
To vertex 3:53 (7,31,3)
To vertex 4:34 (7,31,59,4)
To vertex 5:41 (7,31,59,27,44,45,5)
To vertex 6:45 (7,31,59,27,44,45,5,6)
To vertex 8:48 (7,31,59,27,44,45,5,63,8)
To vertex 9:59 (7,31,59,27,44,45,5,33,20,48,0,56,9)
To vertex 10:50 (7,31,59,27,44,45,10)
To vertex 11:74 (7,31,59,27,44,45,5,33,20,48,11)
To vertex 12:49 (7,31,59,27,44,45,5,33,20,19,12)
To vertex 13:49 (7,23,26,13)
To vertex 14:51 (7,31,59,27,44,45,5,33,20,48,0,14)
To vertex 15:49 (7,31,40,15)
To vertex 16:60 (7,31,59,27,44,22,16)
To vertex 17:63 (7,31,59,27,44,22,32,17)
To vertex 18:78 (7,31,59,27,44,45,5,33,20,48,0,14,18)
To vertex 19:45 (7,31,59,27,44,45,5,33,20,19)
To vertex 20:42 (7,31,59,27,44,45,5,33,20)
To vertex 21:90 (7,23,26,21)
To vertex 22:43 (7,31,59,27,44,22)
To vertex 23:46 (7,23)
To vertex 24:84 (7,31,40,15,24)
To vertex 25:74 (7,31,59,27,44,45,10,25)
To vertex 26:48 (7,23,26)
To vertex 27:33 (7,31,59,27)
To vertex 28:66 (7,31,59,27,44,22,32,47,28)
To vertex 29:110 (7,31,59,27,44,45,10,25,29)
To vertex 30:66 (7,31,59,27,44,45,5,6,30)
To vertex 31:27 (7,31)
To vertex 32:37 (7,31,59,27,44,22,32)
To vertex 33:36 (7,31,59,27,44,45,5,33)
To vertex 34:58 (7,31,59,41,51,34)
To vertex 35:46 (7,31,59,27,44,45,5,6,35)
To vertex 36:75 (7,31,59,27,44,22,36)
To vertex 37:60 (7,31,59,4,37)
To vertex 38:65 (7,31,59,27,44,45,5,33,20,38)
To vertex 39:61 (7,31,59,27,44,45,5,63,39)
To vertex 40:37 (7,31,40)
To vertex 41:34 (7,31,59,41)
To vertex 42:87 (7,31,59,27,44,45,5,33,20,48,0,14,42)
To vertex 43:89 (7,31,59,41,43)
To vertex 44:41 (7,31,59,27,44)
To vertex 45:41 (7,31,59,27,44,45)
To vertex 46:45 (7,31,59,27,44,22,46)
To vertex 47:41 (7,31,59,27,44,22,32,47)
To vertex 48:47 (7,31,59,27,44,45,5,33,20,48)
To vertex 49:50 (7,31,59,49)
To vertex 50:44 (7,31,40,50)
To vertex 51:49 (7,31,59,41,51)
To vertex 52:50 (7,31,59,41,51,52)
To vertex 53:50 (7,31,40,15,53)
To vertex 54:37 (7,54)
To vertex 55:62 (7,23,26,55)
To vertex 56:61 (7,31,59,27,44,45,5,33,20,48,0,56)
To vertex 57:66 (7,31,59,27,44,22,57)
To vertex 58:74 (7,31,59,27,44,45,5,63,39,58)
To vertex 59:29 (7,31,59)
To vertex 60:66 (7,23,26,13,60)
To vertex 61:64 (7,31,59,27,44,45,5,33,20,48,61)
To vertex 62:55 (7,31,40,50,62)
To vertex 63:47 (7,31,59,27,44,45,5,63)
From vertex 8:
To vertex 0:49 (8,38,19,12,27,44,45,5,33,20,48,0)
To vertex 1:84 (8,38,19,12,27,44,22,1)
To vertex 2:45 (8,38,19,12,27,44,45,5,33,2)
To vertex 3:60 (8,15,31,3)
To vertex 4:41 (8,15,31,59,4)
To vertex 5:40 (8,38,19,12,27,44,45,5)
To vertex 6:44 (8,38,19,12,27,44,45,5,6)
To vertex 7:37 (8,15,53,57,7)
To vertex 9:41 (8,15,53,57,9)
To vertex 10:49 (8,38,19,12,27,44,45,10)
To vertex 11:73 (8,38,19,12,27,44,45,5,33,20,48,11)
To vertex 12:38 (8,38,19,12)
To vertex 13:49 (8,38,19,12,27,44,45,5,63,13)
To vertex 14:31 (8,14)
To vertex 15:8 (8,15)
To vertex 16:59 (8,38,19,12,27,44,22,16)
To vertex 17:57 (8,15,53,17)
To vertex 18:58 (8,14,18)
To vertex 19:34 (8,38,19)
To vertex 20:41 (8,38,19,12,27,44,45,5,33,20)
To vertex 21:91 (8,38,19,12,27,44,45,5,33,20,48,0,26,21)
To vertex 22:42 (8,38,19,12,27,44,22)
To vertex 23:76 (8,15,53,17,23)
To vertex 24:43 (8,15,24)
To vertex 25:67 (8,15,25)
To vertex 26:49 (8,38,19,12,27,44,45,5,33,20,48,0,26)
To vertex 27:32 (8,38,19,12,27)
To vertex 28:63 (8,15,53,17,28)
To vertex 29:103 (8,15,25,29)
To vertex 30:44 (8,30)
To vertex 31:34 (8,15,31)
To vertex 32:36 (8,38,19,12,27,44,22,32)
To vertex 33:35 (8,38,19,12,27,44,45,5,33)
To vertex 34:58 (8,15,51,34)
To vertex 35:45 (8,15,53,58,35)
To vertex 36:74 (8,38,19,12,27,44,22,36)
To vertex 37:14 (8,37)
To vertex 38:32 (8,38)
To vertex 39:60 (8,38,19,12,27,44,45,5,63,39)
To vertex 40:43 (8,15,53,40)
To vertex 41:41 (8,15,31,59,41)
To vertex 42:67 (8,14,42)
To vertex 43:89 (8,38,19,12,27,44,22,36,43)
To vertex 44:40 (8,38,19,12,27,44)
To vertex 45:40 (8,38,19,12,27,44,45)
To vertex 46:44 (8,38,19,12,27,44,22,46)
To vertex 47:40 (8,38,19,12,27,44,22,32,47)
To vertex 48:46 (8,38,19,12,27,44,45,5,33,20,48)
To vertex 49:55 (8,38,19,12,27,44,22,32,47,49)
To vertex 50:50 (8,15,53,40,50)
To vertex 51:49 (8,15,51)
To vertex 52:50 (8,15,51,52)
To vertex 53:9 (8,15,53)
To vertex 54:57 (8,15,53,57,9,54)
To vertex 55:53 (8,38,19,12,55)
To vertex 56:60 (8,38,19,12,27,44,45,5,33,20,48,0,56)
To vertex 57:35 (8,15,53,57)
To vertex 58:37 (8,15,53,58)
To vertex 59:36 (8,15,31,59)
To vertex 60:46 (8,14,60)
To vertex 61:63 (8,38,19,12,27,44,45,5,33,20,48,61)
To vertex 62:51 (8,15,53,58,62)
To vertex 63:46 (8,38,19,12,27,44,45,5,63)
From vertex 9:
To vertex 0:35 (9,54,45,5,33,20,48,0)
To vertex 1:66 (9,32,17,23,1)
To vertex 2:31 (9,54,45,5,33,2)
To vertex 3:65 (9,32,47,46,51,34,3)
To vertex 4:55 (9,54,45,5,33,20,55,59,4)
To vertex 5:26 (9,54,45,5)
To vertex 6:30 (9,54,45,5,6)
To vertex 7:36 (9,32,17,7)
To vertex 8:33 (9,54,45,5,63,8)
To vertex 10:24 (9,10)
To vertex 11:39 (9,32,47,11)
To vertex 12:34 (9,54,45,5,33,20,19,12)
To vertex 13:27 (9,10,13)
To vertex 14:36 (9,14)
To vertex 15:41 (9,54,45,5,63,8,15)
To vertex 16:51 (9,32,47,28,44,22,16)
To vertex 17:27 (9,32,17)
To vertex 18:50 (9,32,47,18)
To vertex 19:30 (9,54,45,5,33,20,19)
To vertex 20:27 (9,54,45,5,33,20)
To vertex 21:60 (9,21)
To vertex 22:34 (9,32,47,28,44,22)
To vertex 23:46 (9,32,17,23)
To vertex 24:70 (9,32,47,18,24)
To vertex 25:48 (9,10,25)
To vertex 26:35 (9,54,45,5,33,20,48,0,26)
To vertex 27:28 (9,54,45,5,33,20,19,12,27)
To vertex 28:30 (9,32,47,28)
To vertex 29:84 (9,10,25,29)
To vertex 30:51 (9,54,45,5,6,30)
To vertex 31:63 (9,32,17,7,31)
To vertex 32:1 (9,32)
To vertex 33:21 (9,54,45,5,33)
To vertex 34:59 (9,32,47,46,51,34)
To vertex 35:27 (9,32,35)
To vertex 36:59 (9,36)
To vertex 37:24 (9,32,47,28,37)
To vertex 38:50 (9,54,45,5,33,20,38)
To vertex 39:46 (9,54,45,5,63,39)
To vertex 40:73 (9,54,45,5,33,20,19,40)
To vertex 41:55 (9,54,45,5,33,20,55,59,41)
To vertex 42:72 (9,14,42)
To vertex 43:74 (9,36,43)
To vertex 44:32 (9,32,47,28,44)
To vertex 45:26 (9,54,45)
To vertex 46:32 (9,32,47,46)
To vertex 47:5 (9,32,47)
To vertex 48:32 (9,54,45,5,33,20,48)
To vertex 49:20 (9,32,47,49)
To vertex 50:47 (9,32,47,28,44,50)
To vertex 51:50 (9,32,47,46,51)
To vertex 52:51 (9,32,47,46,51,52)
